Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 0.51, 5.15, 18.68, -2.68, 0.39, 0.19
50, 1.07, 5.42, 15.39, -3.78, 0.27, 0.29
100, -1.54, 3.76, 8.95, -4.33, 0.65, 0.22
150, 0.11, 0.90, 6.45, -4.18, 0.56, -0.00
200, -1.38, -2.24, 2.44, -3.83, 0.84, 0.02
250, -0.91, -5.31, 0.08, -3.17, 0.77, -0.15
300, -0.71, -7.66, -0.31, -2.48, 0.69, 0.08
350, -1.98, -8.54, -0.50, -1.97, 0.51, 0.11
400, -2.60, -9.63, -2.02, -1.25, 0.47, 0.06
450, -3.00, -9.77, -1.95, -0.70, 0.05, 0.01
500, -2.74, -9.93, -1.92, 0.04, 0.04, -0.01
550, -2.32, -9.01, 4.44, 0.18, 0.01, -0.05
600, -1.47, -9.52, 2.16, 0.02, 0.00, 0.01
650, -2.20, -9.16, 3.84, 0.01, 0.05, 0.09
700, -2.62, -9.40, 1.76, 0.05, -0.04, 0.05
750, -2.94, -9.11, 2.86, -0.00, -0.03, 0.02
800, -2.07, -9.32, 2.65, 0.04, -0.04, -0.02
850, -2.33, -9.26, 2.77, 0.00, -0.04, 0.02
900, -2.30, -9.16, 3.54, 0.07, 0.01, 0.02
950, -2.51, -9.33, 2.09, -0.07, -0.06, -0.02
