Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.78, 2.14, 9.26, -0.05, 0.01, 0.01
50, -0.43, 2.54, 11.11, -0.18, -0.01, -0.01
100, -0.81, 2.59, 10.71, -0.35, 0.03, -0.01
150, -0.79, 2.36, 11.26, -0.68, 0.07, -0.08
200, -0.16, 2.71, 13.53, -0.98, 0.21, -0.12
250, -2.46, 3.15, 13.37, -1.74, 0.38, -0.19
300, -1.06, 2.61, 13.75, -2.34, 0.20, -0.49
350, 0.45, 2.29, 12.49, -3.04, 0.41, -0.35
400, -0.73, 1.47, 10.79, -3.47, 0.24, -0.19
450, 0.63, -0.68, 7.92, -3.58, 0.32, -0.30
500, 0.26, -2.08, 5.95, -3.59, 0.45, -0.02
550, -1.18, -3.77, 4.48, -3.46, 0.78, -0.17
600, 0.54, -6.85, -2.03, -3.12, 0.57, -0.05
650, 0.43, -9.16, -2.99, -1.90, 0.71, 0.38
700, -3.87, -9.03, -1.00, -1.41, 0.31, 0.39
750, -3.76, -10.02, -3.49, -0.67, 0.06, 0.17
800, -3.60, -9.42, 1.40, -0.24, 0.01, 0.10
850, -3.25, -9.47, 1.14, -0.03, -0.10, -0.12
900, -1.70, -9.56, 0.96, -0.05, -0.02, -0.11
950, -1.77, -9.35, 3.71, 0.13, 0.05, 0.06
