Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -1.41, 2.93, 9.01, 0.05, -0.06, -0.06
50, -0.73, 2.93, 9.06, 0.09, -0.06, -0.02
100, -0.57, 3.10, 9.87, 0.16, 0.01, 0.01
150, -1.36, 3.15, 9.49, 0.04, 0.04, 0.09
200, -2.67, 3.63, 9.65, 0.20, 0.10, 0.05
250, -0.58, 5.64, 14.92, 0.22, 0.15, -0.08
300, -1.67, 18.85, 45.78, -3.05, -0.24, 0.20
350, -3.35, 28.56, 23.02, -4.37, 2.12, -1.61
400, 6.28, 29.23, 3.63, -4.37, 0.87, -1.60
450, 0.99, 12.33, -18.59, -4.37, 0.71, -1.14
500, 2.92, -7.89, -26.95, -4.37, 0.06, -0.68
550, 2.62, -14.65, -26.59, -0.95, 0.30, 0.00
600, -1.64, -8.48, -2.01, 1.25, 0.21, 0.43
650, -4.11, -7.64, 3.66, 0.49, 0.06, 0.29
700, -3.53, -9.78, -0.77, 0.28, -0.02, -0.05
750, -1.70, -9.44, 1.90, 0.63, -0.17, -0.11
800, -1.23, -9.06, 3.97, 0.35, -0.14, -0.12
850, -1.22, -9.88, 1.88, 0.17, 0.01, -0.05
900, -1.50, -9.96, 1.32, 0.30, -0.04, 0.07
950, -2.68, -9.31, 2.93, 0.32, 0.10, 0.04
