Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 2.59, 6.85, 22.86, -2.67, 0.28, 0.08
50, -0.26, 7.25, 15.33, -4.37, 0.51, 0.16
100, -0.80, 5.49, 8.75, -4.37, 0.46, -0.09
150, 2.00, -0.22, -1.03, -4.37, 0.63, -0.11
200, 0.36, -5.53, -3.25, -3.17, 0.75, 0.19
250, -1.25, -7.41, 0.18, -2.17, 0.62, 0.23
300, -3.06, -8.03, 2.75, -1.67, 0.41, 0.22
350, -2.71, -7.44, 5.00, -1.80, 0.27, 0.01
400, -2.24, -8.12, 2.82, -1.82, 0.55, -0.12
450, -2.01, -9.27, -1.12, -1.54, 0.43, -0.20
500, -0.09, -10.86, -4.66, -0.73, 0.26, -0.04
550, -1.72, -10.29, -2.40, 0.33, 0.32, 0.22
600, -3.73, -8.68, 4.84, 0.25, -0.07, 0.05
650, -2.05, -9.35, 2.75, -0.08, -0.01, -0.07
700, -1.94, -9.67, 0.80, -0.16, -0.02, -0.02
750, -1.55, -9.58, 2.40, 0.19, 0.02, 0.10
800, -2.70, -9.29, 2.56, 0.12, -0.03, 0.05
850, -2.48, -9.39, 2.56, 0.03, -0.02, -0.04
900, -1.39, -9.70, 1.07, 0.18, -0.07, 0.01
950, -2.38, -9.23, 3.83, 0.22, 0.03, 0.03
