Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.45, 3.11, 15.75, -1.43, 0.18, -0.10
50, 0.44, 3.45, 15.33, -2.40, 0.20, -0.08
100, -0.79, 3.13, 13.34, -3.13, 0.21, -0.08
150, -0.36, 2.88, 12.85, -3.84, 0.11, -0.04
200, 0.66, -0.05, 5.67, -3.98, 0.22, -0.16
250, 0.42, -2.65, 3.98, -3.55, 0.39, 0.09
300, -1.10, -4.12, 4.78, -3.28, 0.68, -0.15
350, 2.25, -5.56, 4.66, -2.99, 1.14, 0.02
400, -1.27, -6.91, -2.65, -3.19, 1.06, 0.10
450, -0.76, -10.96, -10.28, -1.87, 0.46, 0.23
500, -3.58, -10.40, -4.61, -0.21, 0.22, 0.38
550, -4.97, -9.42, 0.91, 0.15, 0.00, 0.05
600, -1.78, -9.45, 1.76, 0.05, -0.15, -0.19
650, -0.80, -9.82, 1.14, 0.07, -0.06, -0.00
700, -1.72, -9.45, 2.59, 0.11, -0.04, 0.10
750, -2.37, -9.56, 1.60, -0.02, -0.03, 0.08
800, -2.32, -9.62, 1.42, 0.13, -0.03, 0.05
850, -2.83, -9.55, 1.49, 0.15, -0.05, -0.00
900, -1.87, -9.62, 1.76, 0.36, -0.08, -0.07
950, -1.64, -9.69, 0.83, 0.33, -0.28, 0.02
