Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.28, 4.27, 8.49, -0.03, -0.06, 0.05
50, -2.31, 3.78, 6.76, 0.10, -0.03, -0.03
100, -1.45, 4.02, 7.55, 0.29, 0.00, 0.06
150, -2.16, 3.95, 6.39, 0.39, 0.00, 0.15
200, -1.56, 4.44, 7.42, 0.81, 0.06, 0.27
250, -2.61, 4.68, 7.25, 0.86, 0.34, 0.21
300, -3.10, 10.14, 21.49, 0.56, -0.14, 0.37
350, -12.66, 20.13, 37.06, -3.74, -0.22, -0.23
400, -7.31, 53.28, 39.51, -4.37, 1.62, -3.94
450, 11.33, 31.50, -30.35, -4.37, -0.15, -3.40
500, 10.00, -15.94, -44.02, -4.37, 0.51, -2.06
550, 5.10, -13.53, -17.60, 1.43, -0.25, 0.59
600, -5.65, -3.83, 13.36, 2.03, -0.03, 0.75
650, -5.38, -4.03, 14.99, 0.43, -0.05, 0.10
700, -1.36, -7.17, 7.00, -0.24, 0.10, -0.21
750, -1.92, -7.43, 4.62, 0.23, 0.00, 0.10
800, -3.58, -6.46, 7.37, 0.16, -0.05, -0.02
850, -1.52, -6.85, 6.23, 0.11, -0.15, -0.06
900, -0.15, -6.78, 7.05, 0.17, -0.07, 0.11
950, -3.06, -6.36, 7.17, 0.17, 0.04, 0.12
