Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 0.30, 1.75, 9.65, -0.14, 0.02, -0.02
50, -0.13, 2.18, 11.22, -0.30, 0.04, 0.04
100, -0.04, 3.09, 15.68, -0.80, -0.02, 0.04
150, 0.17, 2.89, 14.99, -1.65, 0.21, -0.03
200, 1.33, 3.52, 15.75, -2.46, 0.29, 0.14
250, -1.91, 3.42, 13.41, -3.36, 0.17, 0.13
300, 0.81, 0.46, 7.52, -3.54, 0.19, -0.03
350, -0.03, -0.65, 7.75, -3.57, 0.24, 0.20
400, -0.38, -2.60, 5.70, -3.38, 0.57, 0.15
450, -1.14, -4.06, 4.56, -3.29, 0.35, 0.15
500, -0.06, -6.74, 0.30, -2.77, 0.70, 0.08
550, -1.35, -8.14, -0.49, -2.31, 0.68, 0.22
600, -2.75, -9.43, -3.43, -1.59, 0.49, 0.12
650, -3.73, -9.54, -0.93, -0.85, 0.30, -0.01
700, -3.30, -9.62, 0.40, -0.63, 0.03, -0.24
750, -0.80, -9.88, 1.39, -0.27, 0.20, -0.25
800, -0.92, -9.64, 1.15, -0.48, 0.08, -0.16
850, -0.35, -10.37, -1.20, -0.03, 0.11, 0.03
900, -2.09, -9.60, 1.99, 0.14, 0.03, 0.15
950, -3.09, -9.16, 3.56, -0.16, 0.00, -0.01
