Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 0.51, 8.54, 11.98, -4.37, 0.29, -0.51
50, 1.98, -0.59, -1.85, -4.31, 0.33, -0.05
100, -0.39, -3.92, 2.57, -2.04, 0.29, 0.08
150, -1.32, 4.71, 25.67, -3.33, 0.45, 0.17
200, -0.78, 8.28, 13.80, -4.37, 0.99, -0.49
250, 1.50, 2.98, -1.36, -4.37, 1.03, -0.59
300, 2.61, -6.17, -14.22, -4.37, 0.90, -0.66
350, 1.50, -12.62, -21.60, -2.26, 0.34, 0.04
400, -0.98, -10.56, -8.92, -0.11, -0.06, 0.43
450, -3.85, -8.86, -2.97, 0.37, -0.04, 0.29
500, -2.96, -9.21, -1.83, 0.27, -0.11, -0.02
550, -0.96, -9.83, -0.97, 0.47, -0.06, -0.03
600, -1.26, -9.61, 1.31, 0.44, -0.08, 0.04
650, -1.58, -9.97, -0.28, 0.39, -0.11, 0.02
700, -1.65, -9.88, 0.96, 0.32, -0.08, 0.06
750, -1.70, -9.90, 1.07, 0.20, -0.09, 0.05
800, -2.07, -9.89, 0.06, 0.43, -0.03, 0.04
850, -1.89, -9.36, 2.55, 0.31, -0.07, 0.03
900, -1.94, -9.73, 1.78, -0.03, -0.09, -0.01
950, -1.25, -9.89, 1.10, 0.04, -0.09, 0.02
