Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -2.01, 2.36, 10.44, 0.02, 0.01, 0.02
50, -1.03, 1.80, 8.76, 0.07, -0.00, -0.02
100, -0.91, 1.33, 9.20, 0.08, -0.01, 0.10
150, -2.03, 1.86, 9.93, 0.32, 0.35, 0.04
200, -1.47, 4.33, 13.92, 0.04, 0.27, 0.08
250, -4.74, 14.82, 39.08, -2.10, -0.32, 0.03
300, -7.75, 25.00, 28.51, -4.37, 1.02, -1.32
350, 6.22, 28.70, 10.66, -4.37, 1.60, -2.42
400, 6.27, 16.22, -18.04, -4.37, 1.27, -1.76
450, 12.81, -10.89, -43.66, -4.37, 0.61, -0.33
500, -3.75, -11.25, -19.26, 0.75, 0.01, 0.76
550, -8.18, -6.70, 12.41, 0.72, -0.22, 0.25
600, -2.43, -10.87, 1.57, -0.67, -0.05, -0.38
650, -1.21, -10.19, -4.31, -0.27, -0.14, -0.32
700, -0.10, -9.68, 0.09, 0.17, -0.03, 0.04
750, -3.10, -9.71, 0.89, 0.18, 0.03, 0.19
800, -3.24, -9.92, -0.06, 0.07, -0.08, -0.14
850, -1.44, -9.67, 1.58, 0.16, -0.09, -0.12
900, -1.46, -10.00, -0.39, 0.11, 0.03, -0.04
950, -1.06, -9.83, 0.98, 0.18, -0.01, 0.01
