Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -3.65, 1.17, 9.11, 0.20, -0.01, 0.10
50, -3.50, 1.22, 9.29, 0.12, 0.07, 0.14
100, -4.59, 1.41, 8.98, 0.10, 0.16, 0.10
150, -4.30, 1.21, 8.31, 0.05, 0.09, 0.04
200, -4.65, 1.48, 8.39, 0.14, 0.14, 0.03
250, -4.28, 1.49, 8.65, 0.14, 0.03, -0.00
300, -5.28, 1.40, 9.61, 0.16, -0.02, -0.01
350, -5.37, 2.29, 9.32, 0.09, -0.06, -0.09
400, -3.01, 1.19, 8.21, 0.25, -0.34, -0.07
450, -0.68, 1.07, 8.37, 0.44, -0.14, 0.34
500, -4.29, 4.15, 14.25, 0.60, -0.22, 0.83
550, -12.00, 19.70, 43.88, -2.11, -0.53, 0.21
600, -20.62, 38.47, 21.72, -4.37, 3.42, -4.37
650, 18.64, 25.76, -7.15, -4.37, 0.94, -4.37
700, 15.11, -5.53, -27.63, -4.37, 0.43, -2.78
750, 16.20, -17.27, -32.09, -1.01, 0.41, -0.19
800, -3.09, -7.83, -2.91, 2.01, 0.06, 1.85
850, -10.65, -4.42, 10.53, 0.80, -0.12, 0.52
900, -3.40, -9.02, 3.03, -0.05, -0.23, -0.31
950, -1.45, -9.56, 2.76, 0.30, -0.04, 0.14
