Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 0.90, 3.38, 10.64, 0.01, 0.01, -0.01
50, 0.10, 3.26, 9.90, -0.25, 0.07, 0.05
100, 1.96, 4.45, 14.63, -0.53, 0.06, 0.09
150, 3.39, 17.03, 44.98, -3.47, -0.59, 0.71
200, -0.00, 24.43, 20.74, -4.37, 0.71, -0.01
250, 7.01, 18.85, -1.29, -4.37, 0.67, 0.99
300, -2.04, 1.04, -15.99, -4.37, 1.17, 0.46
350, -1.72, -7.43, -12.88, -4.22, 0.78, 0.27
400, 0.65, -12.90, -18.22, -1.51, 0.29, 0.37
450, -3.45, -9.13, -2.13, 0.32, 0.06, 0.52
500, -4.76, -8.68, 1.09, 0.22, -0.09, 0.13
550, -1.95, -9.80, 1.08, 0.29, -0.23, -0.19
600, -0.26, -9.45, 3.36, 0.48, -0.17, -0.14
650, -0.68, -9.28, 4.55, 0.07, 0.01, -0.02
700, -1.22, -9.95, 0.79, 0.21, -0.07, 0.04
750, -1.56, -9.83, 0.78, 0.21, -0.11, 0.11
800, -2.67, -8.23, 5.66, 0.46, -0.07, 0.01
850, -1.75, -9.19, 4.04, -0.13, -0.04, -0.13
900, -0.17, -10.06, 2.08, 0.03, -0.12, -0.11
950, -0.18, -8.94, 5.05, -0.02, 0.08, 0.04
