Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.78, 2.19, 9.97, -0.12, -0.02, -0.04
50, -0.14, 2.04, 9.83, -0.15, 0.06, -0.02
100, -0.37, 2.80, 12.67, -0.32, 0.07, 0.03
150, -1.09, 3.74, 16.61, -1.22, 0.18, -0.04
200, -0.71, 2.43, 10.97, -1.89, 0.35, -0.20
250, 0.14, 2.24, 13.34, -2.25, 0.24, -0.06
300, -1.67, 2.31, 13.09, -2.86, 0.13, -0.07
350, -0.35, 1.20, 11.11, -3.25, 0.17, -0.23
400, -0.00, -0.37, 8.66, -3.44, 0.50, -0.14
450, -1.87, -1.88, 6.04, -3.46, 0.54, -0.07
500, -0.94, -3.92, 5.10, -3.28, 0.39, -0.35
550, 0.37, -5.92, 1.73, -3.09, 0.59, -0.10
600, -0.79, -8.39, -1.47, -2.33, 0.83, -0.03
650, -0.94, -9.37, -2.04, -1.58, 0.81, -0.02
700, -2.77, -9.63, -0.57, -1.07, 0.42, 0.14
750, -2.73, -9.50, -0.23, -0.83, 0.12, -0.02
800, -1.47, -10.58, -3.17, -0.07, 0.13, 0.08
850, -2.53, -9.75, -0.55, 0.15, -0.03, 0.01
900, -2.38, -9.26, 3.87, 0.44, -0.00, 0.05
950, -2.38, -9.23, 2.53, -0.11, -0.14, -0.04
