Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.72, 1.92, 12.39, -0.71, 0.04, -0.14
50, -0.05, 1.10, 10.86, -1.14, 0.21, -0.12
100, -0.53, 1.21, 12.36, -1.29, 0.28, -0.08
150, -1.52, 0.67, 10.68, -1.62, 0.41, -0.16
200, -0.63, 0.35, 12.01, -1.95, 0.25, -0.18
250, -0.74, 0.21, 12.32, -2.33, 0.18, -0.17
300, -1.53, -0.64, 10.63, -2.80, 0.45, -0.16
350, -0.33, -1.54, 9.87, -3.15, -0.31, -0.23
400, 0.32, -4.01, 3.79, -3.03, 0.55, -0.06
450, -0.34, -6.14, 2.51, -2.41, 0.15, 0.17
500, -2.37, -7.07, 3.38, -1.85, 0.27, 0.09
550, -1.20, -7.51, 4.36, -1.78, 0.14, 0.08
600, -2.14, -7.86, 3.41, -1.75, 0.28, 0.05
650, -1.36, -8.75, 1.50, -1.57, 0.30, 0.06
700, -2.62, -9.29, 0.30, -1.27, 0.31, 0.06
750, -2.70, -10.03, -3.02, -0.75, 0.22, -0.05
800, -1.89, -10.44, -1.51, 0.02, 0.08, -0.05
850, -2.80, -9.00, 3.83, 0.09, 0.00, -0.04
900, -1.19, -9.88, 1.24, 0.09, -0.02, -0.08
950, -1.63, -9.19, 3.76, -0.05, 0.04, 0.06
