Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -1.85, 6.83, 18.88, -2.47, 0.34, -0.12
50, 0.65, 8.23, 19.81, -3.82, 0.53, -0.29
100, -1.59, 9.63, 12.45, -4.37, 0.49, -0.02
150, -2.53, 5.31, 4.85, -4.37, 0.60, -0.58
200, -0.65, 1.63, 1.59, -4.37, 0.43, -0.54
250, -0.35, -2.78, -1.72, -4.37, 0.51, -0.53
300, 0.85, -6.49, -5.38, -3.90, 0.48, -0.52
350, 0.60, -10.75, -11.75, -2.43, 0.46, -0.24
400, -0.46, -10.89, -7.84, -0.83, 0.12, 0.14
450, -2.63, -9.94, -3.49, -0.27, -0.02, 0.15
500, -2.32, -9.44, -0.49, 0.04, 0.01, 0.03
550, -1.57, -10.12, -2.16, 0.14, -0.05, -0.03
600, -1.30, -9.65, 0.50, 0.35, -0.03, 0.03
650, -2.29, -9.74, 1.83, 0.02, -0.03, 0.01
700, -1.81, -9.97, 0.06, 0.22, -0.01, -0.03
750, -1.52, -9.75, 1.37, -0.04, -0.01, -0.02
800, -2.32, -10.45, -2.24, 0.03, -0.08, 0.03
850, -1.56, -9.11, 3.56, 0.17, -0.02, -0.08
900, -1.53, -10.00, 0.15, 0.02, -0.01, -0.02
950, -0.92, -9.86, 1.17, -0.09, -0.01, 0.01
