Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, 0.62, 3.65, 14.16, -0.16, 0.01, -0.02
50, -0.21, 10.35, 30.35, -2.47, -0.40, 0.28
100, -1.10, 15.43, 23.93, -4.37, 0.40, -0.12
150, 2.48, 14.62, 8.85, -4.37, 0.72, -0.13
200, 2.65, 9.67, 2.99, -4.37, 1.29, 0.01
250, 0.16, -0.23, -10.45, -4.37, 1.38, -0.12
300, -0.27, -11.44, -22.69, -3.66, 0.77, 0.00
350, -4.61, -9.71, -7.77, -0.79, 0.05, 0.05
400, -1.72, -8.79, -2.31, -0.77, -0.10, -0.20
450, -0.75, -10.01, -4.98, -0.17, -0.00, 0.01
500, -2.02, -8.94, -0.34, 0.23, -0.00, 0.02
550, -0.90, -9.85, -1.36, 0.18, -0.08, 0.02
600, -2.15, -9.79, 0.35, 0.38, -0.07, 0.08
650, -1.64, -9.81, 1.64, 0.25, -0.12, 0.04
700, -2.12, -9.64, 2.73, 0.06, -0.00, 0.07
750, -1.90, -10.24, 0.11, 0.05, -0.06, 0.06
800, -2.77, -9.62, 1.16, 0.12, -0.01, 0.04
850, -2.03, -9.93, 0.21, 0.03, -0.07, -0.04
900, -1.24, -9.49, 1.92, 0.13, -0.03, -0.01
950, -1.76, -9.55, 1.67, -0.07, 0.04, 0.07
